abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,revenue_from_goods_and_services,revenue_from_investments,other_beneficiaries_not_listed,other_beneficiaries_description,main_beneficiaries,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
91431313758,The Trustee For K And Mv Topliss Charitable Foundation,VIC,Small,TRUE,Income support maintenance,TRUE,0,0,0,0,0,0,71872,0,386,72258,0,0,137500,0,11132,148632,-76374,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,72258,0,accurate,148632,0,accurate,0,0,not excessive,0,0,0,balanced
91469765852,Karden Disability Support Foundation,VIC,Large,TRUE,Social services,TRUE,3,29,90,0,2271,7986,3355772,3366029,69,3366098,2924172,3343,0,0,429074,3356589,9509,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,FALSE,NA,NA,3366098,0,accurate,3356589,0,accurate,122,23968.622950819674,not excessive,0,2271,6.746684142885917e-4,balanced
91480733899,OC Connections Limited,VIC,Large,TRUE,Social services,TRUE,60,180,32,30,9787840,29663,3391417,13208920,0,13208920,9671279,40025,0,0,2735909,12447213,761707,2016,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,NA,NA,FALSE,NA,NA,13208920,0,accurate,12447213,0,accurate,302,32024.10264900662,not excessive,0,9787840,0.7410022923902938,balanced
91482731425,Mornington Community Information & Support Centre Inc,VIC,Medium,TRUE,Emergency relief,TRUE,2,4,0,70,227273,95233,114701,437207,0,437207,229233,0,0,0,211647,440880,-3673,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,437207,0,accurate,440880,0,accurate,76,3016.2236842105262,not excessive,0,227273,0.5198292799520593,balanced
91506255952,The Trustee For The Quiksilver Foundation,VIC,Small,TRUE,Economic social community development,TRUE,0,0,0,3,0,0,19523,0,0,19523,0,0,11500,0,2579,14079,5444,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,19523,0,accurate,14079,0,accurate,3,0,not excessive,0,0,0,balanced
91514980522,Orana Neighbourhood House Inc,VIC,Small,TRUE,Economic social community development,TRUE,0,2,4,15,146299,0,52177,0,0,198476,139859,0,0,0,41184,181043,17433,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,198476,0,accurate,181043,0,accurate,21,6659.952380952381,not excessive,0,146299,0.737111791853927,balanced
91523232008,Daylesford Neighbourhood Centre Inc,VIC,Medium,TRUE,Other education,TRUE,1,4,3,26,194560,0,128393,322953,0,322953,189416,0,0,0,122034,311450,11503,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,322953,0,accurate,311450,0,accurate,34,5571.058823529412,not excessive,0,194560,0.6024406028121739,balanced
91525711747,Camberwell Kindergarten And Child Care Centre Inc.,VIC,Large,TRUE,Other education,TRUE,7,10,5,0,0,0,1208808,1208808,0,1208808,852255,0,0,0,311052,1163307,45501,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,FALSE,NA,NA,1208808,0,accurate,1163307,0,accurate,22,38738.86363636364,not excessive,0,0,0,balanced
91549424794,Russian Ethnic Representative Council Of Victoria Inc,VIC,Medium,TRUE,Aged care activities,TRUE,3,3,8,145,260949,29217,83956,374122,0,374122,226022,0,0,0,143142,369164,4958,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,374122,0,accurate,369164,0,accurate,159,1421.5220125786163,not excessive,0,260949,0.6974970731472622,balanced
91566009857,Youth Projects Ltd,VIC,Large,TRUE,Social services,TRUE,31,20,29,5,5283730,162219,575768,6021717,0,6021717,3380109,0,0,0,2399642,5779751,241966,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,FALSE,NA,NA,6021717,0,accurate,5779751,0,accurate,85,39765.98823529412,not excessive,0,5283730,0.8774457517681419,balanced
91590122834,The Campus Bookstore,VIC,Large,TRUE,Other education,TRUE,8,6,28,0,0,0,4240307,4240307,0,4240307,1011034,4382,0,0,3244870,4260286,-19979,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,FALSE,NA,NA,4240307,0,accurate,4260286,0,accurate,42,24072.238095238095,not excessive,0,0,0,balanced
91598367301,The Trustee For Estate B Roper,VIC,Small,TRUE,Other health service delivery,TRUE,0,0,0,0,0,0,0,0,5588,5588,0,0,0,0,5588,5588,0,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,5588,0,accurate,5588,0,accurate,0,0,not excessive,0,0,0,balanced
91601570585,Big Group Hug Ltd,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,100,24222,7100,63,0,0,31385,0,0,0,0,12454,12454,18931,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,31385,0,accurate,12454,0,accurate,100,0,not excessive,0,24222,0.7717699537995858,balanced
