abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,revenue_from_goods_and_services,revenue_from_investments,government_grants,main_beneficiaries,other_beneficiaries_not_listed,other_beneficiaries_description,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
78126256862,Fitted For Work Limited,VIC,Large,TRUE,Economic social community development,TRUE,7,9,2,146,565363,794291,1546601,0,1546601,1142816,1298,0,0,456121,1600235,-53634,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,111947,0,75000,General community in Australia,FALSE,NA,1546601,0,accurate,1600235,0,accurate,164,6968.390243902439,not excessive,0,75000,0.04849343819123355,balanced
78152504400,From The Ground Up Ltd,VIC,Medium,TRUE,International activities,TRUE,1,2,0,35,170810,0,284091,0,284091,148167,0,0,0,125064,273231,10860,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,113281,0,0,Early childhood - aged under 6,FALSE,NA,284091,0,accurate,273231,0,accurate,38,3899.1315789473683,not excessive,0,0,0,balanced
78160116379,Harvest Ministry of Food Incorporated,VIC,Small,TRUE,Social services,TRUE,0,0,0,18,12678,5,16883,0,16883,0,0,0,0,8261,8261,8622,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,4200,General community in Australia,FALSE,NA,16883,0,accurate,8261,0,accurate,18,0,not excessive,0,4200,0.2487709530296748,balanced
78199008703,Ness Reserve Pre School Assoc. Inc,VIC,Small,TRUE,Other education,TRUE,0,6,0,17,1045,0,152256,101703,253959,195270,0,0,0,33006,228276,25683,2017,Valid ABN,TRUE,TRUE,S,TRUE,Medium,0,0,151211,Early childhood - aged under 6,FALSE,NA,253959,0,accurate,228276,0,accurate,23,8490,not excessive,0,151211,0.5954150079343516,balanced
78205894566,Warramunda Village Inc,VIC,Large,TRUE,Aged care activities,TRUE,5,78,41,65,89828,0,5284743,315159,5599902,4693745,0,0,0,1932449,6626194,-1026292,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,1797822,154356,3242737,People in rural/regional/remote communities,FALSE,NA,5599902,0,accurate,6626194,0,accurate,189,24834.62962962963,not excessive,0,3242737,0.5790703123018939,balanced
78236509861,Philippine Australian Foundation (Victoria) Inc.,VIC,Small,TRUE,Aged care activities,TRUE,0,0,0,25,35007,25220,60252,0,60252,0,0,0,0,37611,37611,22641,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,25,0,Adults - aged 65 and over,FALSE,NA,60252,0,accurate,37611,0,accurate,25,0,not excessive,0,0,0,balanced
78268060738,Thorpdale & District Kindergarten Inc.,VIC,Small,TRUE,Other education,TRUE,2,0,0,0,0,0,0,5769,5769,0,0,0,0,3434,3434,2335,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,0,Early childhood - aged under 6,FALSE,NA,5769,0,accurate,3434,0,accurate,2,0,not excessive,0,0,0,balanced
78274788328,Heart Focus Community Care,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,15,56761,0,56761,0,56761,0,0,0,0,51838,51838,4923,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,0,0,Families,FALSE,NA,56761,0,accurate,51838,0,accurate,15,0,not excessive,0,0,0,balanced
78285019708,Donwood Community Aged Care Services Inc,VIC,Large,TRUE,Aged care activities,TRUE,4,117,41,60,18296,42288,9353717,0,9353717,6391091,18780,0,0,2229235,8639106,714611,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,2111418,436856,6744859,Adults - aged 65 and over,FALSE,NA,9353717,0,accurate,8639106,0,accurate,222,28788.6981981982,not excessive,0,6744859,0.7210886324655749,balanced
78341606751,Victorian Medical Benevolent Association Incorporated,VIC,Medium,TRUE,Emergency relief,TRUE,0,0,1,1,5000,6541,269645,470435,740080,0,0,165208,0,77721,242929,497151,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,0,258104,0,General community in Australia,FALSE,NA,740080,0,accurate,242929,0,accurate,2,0,not excessive,0,0,0,balanced
78345431247,Jewish Care (Victoria) Inc,VIC,Large,TRUE,Aged care activities,TRUE,124,402,266,550,9872097,207300,73916854,2908196,76825050,41490850,0,0,0,24871061,66361911,10463139,2017,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,20426440,4049002,39362015,General community in Australia,FALSE,NA,76825050,0,accurate,66361911,0,accurate,1342,30917.175856929956,not excessive,0,39362015,0.5123591198443737,balanced
78434245204,Cape Paterson Surf Life Saving Club Inc,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,300,23949,57739,177462,0,177462,0,0,0,0,67819,67819,109643,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,46732,7457,41585,General community in Australia,FALSE,NA,177462,0,accurate,67819,0,accurate,300,0,not excessive,0,41585,0.23433185696092684,balanced
78448238251,Polynesian Kids Community Language School Inc.,VIC,Small,TRUE,Other education,TRUE,0,0,14,10,579,2000,41696,0,41696,18719,0,0,0,14565,33284,8412,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,16221,0,22896,Children - aged 6 to under 15,FALSE,NA,41696,0,accurate,33284,0,accurate,24,779.9583333333334,not excessive,0,22896,0.5491174213353799,balanced
78482029172,Romsey-Lancefield RSL Sub-Branch Patriotic Fund,VIC,SMALL,TRUE,Social services,TRUE,0,0,0,5,0,1125,1125,0,1125,0,0,0,0,3659,3659,-2534,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,0,Veterans and/or their families,FALSE,NA,1125,0,accurate,3659,0,accurate,5,0,not excessive,0,0,0,balanced
78497105065,Loreto Toorak Past Pupils' Association Incorporated,VIC,Small,TRUE,Economic social community development,TRUE,0,0,0,24,0,18796,18796,0,18796,0,0,20000,2500,4429,26929,-8133,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,0,Overseas communities or charities,FALSE,NA,18796,0,accurate,26929,0,accurate,24,0,not excessive,0,0,0,balanced
78513040891,Swifts Creek Bush Nursing Centre Inc.,VIC,Medium,TRUE,Other health service delivery,TRUE,1,2,5,9,68937,21080,441198,1194,442392,284157,0,0,0,104033,388190,54202,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,7341,5907,337933,General community in Australia,FALSE,NA,442392,0,accurate,388190,0,accurate,17,16715.117647058825,not excessive,0,337933,0.7638768332157905,balanced
78533061672,Adult Learning Australia Limited,VIC,Medium,TRUE,Civic advocacy activities,TRUE,3,2,0,10,0,0,791740,44580,836320,417476,0,0,0,526161,943637,-107317,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,55309,31198,705233,General community in Australia,FALSE,NA,836320,0,accurate,943637,0,accurate,15,27831.733333333334,not excessive,0,705233,0.8432573656016835,balanced
78550982409,Australian and New Zealand Children's Haematology/Oncology Group,VIC,Medium,TRUE,Other health service delivery,TRUE,1,4,1,0,17800,0,355698,0,355698,20945,0,0,0,181330,202275,153423,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,327178,10720,0,Children - aged 6 to under 15,FALSE,NA,355698,0,accurate,202275,0,accurate,6,3490.8333333333335,not excessive,0,0,0,balanced
78565929280,Progressive Judaism Victoria Inc,VIC,Small,TRUE,Civic advocacy activities,TRUE,0,1,0,6,0,164330,212867,0,212867,27486,0,0,0,179522,207008,5859,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,48537,0,0,Adults - aged 25 to under 65,FALSE,NA,212867,0,accurate,207008,0,accurate,7,3926.5714285714284,not excessive,0,0,0,balanced
78577549329,Disability Resources Centre Inc,VIC,Small,TRUE,Civic advocacy activities,TRUE,0,5,2,3,19000,0,156864,0,156864,88002,0,22700,0,48569,159271,-2407,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,1137,136727,People with disabilities,FALSE,NA,156864,0,accurate,159271,0,accurate,10,8800.2,not excessive,0,136727,0.8716276519787842,balanced
78605788947,Sherbourne Pre School Association Inc,VIC,Medium,TRUE,Other education,TRUE,2,4,0,60,0,16982,263994,0,263994,190733,0,0,0,65977,256710,7284,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,98415,1299,147298,Early childhood - aged under 6,FALSE,NA,263994,0,accurate,256710,0,accurate,66,2889.8939393939395,not excessive,0,147298,0.5579596505981197,balanced
78610345089,UnitingCare Hotham Mission,VIC,Medium,TRUE,Emergency relief,TRUE,0,6,0,40,218472,31784,250256,0,250256,118527,0,10696,0,121033,250256,0,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,0,0,0,Children - aged 6 to under 15,FALSE,NA,250256,0,accurate,250256,0,accurate,46,2576.6739130434785,not excessive,0,0,0,balanced
78613579614,DataGene Limited,VIC,Large,TRUE,Economic social community development,TRUE,15,1,1,0,0,0,3737885,3399542,7137427,1916492,0,0,0,988231,2904723,4232704,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,3446481,10109,281295,General community in Australia,TRUE,Agriculture in Australia,7137427,0,accurate,2904723,0,accurate,17,112734.82352941176,not excessive,0,281295,0.03941126122901152,balanced
78633988978,Linton Court Elderly Peoples Homes Society Inc.,VIC,Medium,TRUE,Housing activities,TRUE,0,0,0,40,0,60734,272250,0,272250,0,0,0,0,165785,165785,106465,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,202591,8925,0,Adults - aged 65 and over,FALSE,NA,272250,0,accurate,165785,0,accurate,40,0,not excessive,0,0,0,balanced
78647196083,THE TRUSTEE FOR KAYE CUSSEN FOUNDATION,VIC,Small,TRUE,International activities,TRUE,0,0,0,0,25000,0,38620,0,38620,0,0,0,11000,2749,13749,24871,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,13620,0,Overseas communities or charities,FALSE,NA,38620,0,accurate,13749,0,accurate,0,0,not excessive,0,0,0,balanced
78684267029,Make a Difference Dingley Village Inc,VIC,Small,TRUE,Emergency relief,TRUE,0,3,3,55,176109,10080,223235,0,223235,127601,0,58596,0,47302,233499,-10264,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,951,36095,Financially disadvantaged people,FALSE,NA,223235,0,accurate,233499,0,accurate,61,2091.8196721311474,not excessive,0,36095,0.16169059511277353,balanced
78688401188,BRIGHT RSL SUB-BRANCH PATRIOTIC FUND,VIC,SMALL,TRUE,Social services,TRUE,0,0,0,5,0,10000,19615,0,19615,0,0,0,0,42620,42620,-23005,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,9615,0,0,Veterans and/or their families,FALSE,NA,19615,0,accurate,42620,0,accurate,5,0,not excessive,0,0,0,balanced
78697997447,Walhalla Heritage And Development League,VIC,Small,TRUE,Economic social community development,TRUE,0,0,0,4,1672,0,15725,0,15725,0,0,0,0,12033,12033,3692,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,12757,1296,0,General community in Australia,FALSE,NA,15725,0,accurate,12033,0,accurate,4,0,not excessive,0,0,0,balanced
78731286017,Taraleigh Steiner Kindergarten and Playgroup,VIC,Medium,TRUE,Other education,TRUE,0,9,3,0,0,14773,300334,561,300895,216709,0,0,0,83742,300451,444,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,199126,0,86435,Early childhood - aged under 6,FALSE,NA,300895,0,accurate,300451,0,accurate,12,18059.083333333332,not excessive,0,86435,0.2872596753020156,balanced
78734520315,Lilian Cannam Kindergarten Inc,Victoria,Medium,TRUE,Other education,TRUE,0,12,0,25,0,32382,581922,0,581922,486706,0,0,0,107690,594396,-12474,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,374460,4106,170974,Early childhood - aged under 6,FALSE,NA,581922,0,accurate,594396,0,accurate,37,13154.216216216217,not excessive,0,170974,0.29380913593230706,balanced
