abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_other,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,total_grants_use,grants_income_prop,grants_use_prop,imbalanced_grants
72534020156,Koorie Heritage Trust Inc,VIC,Large,TRUE,Culture arts,TRUE,8,11,1,NA,958572,60199,831071,1849842,0,1849842,1121515,0,822277,0,153437,2097229,-247387,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Large,1849842,0,accurate,1274952,822277,accurate,20,56075.75,not excessive,0,1018771,822277,0.5507340626929219,0.4445120177831404,balanced
72544824276,Monash-waverley Community Informationand Support Inc,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,NA,19765,8680,0,0,0,53240,0,0,0,0,53130,53130,110,2014,Valid ABN,TRUE,TRUE,TRUE,S,TRUE,Small,28445,24795,accurate,53130,0,accurate,0,0,not excessive,0,28445,0,0.5342787377911344,0,balanced
72595962331,KORUMBURRA RSL SUB-BRANCH PATRIOTIC FUND,VIC,small,TRUE,Other activity,FALSE,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,320,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,0,320,accurate,0,0,accurate,0,0,not excessive,0,0,0,0,0,balanced
72605571317,Csirocare Clayton Inc,VIC,Large,TRUE,Other education,TRUE,8,7,4,NA,38355,0,1075751,1114106,0,1114106,996332,0,0,0,211556,1207888,-93782,2014,Valid ABN,FALSE,TRUE,TRUE,L,TRUE,Large,1114106,0,accurate,1207888,0,accurate,19,52438.52631578947,not excessive,0,38355,0,0.034426706255957694,0,balanced
72673863599,Wangaratta Family History Society Inc,VIC,Small,TRUE,Culture arts,TRUE,0,0,0,NA,15025,556,0,0,0,23390,0,0,0,0,18754,18754,4636,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,15581,7809,accurate,18754,0,accurate,0,0,not excessive,0,15581,0,0.6661393758016246,0,balanced
72749438155,St Brigid's College,VIC,Large,TRUE,Primary secondary education,FALSE,37,36,0,NA,5580744,0,1792052,7372796,0,7372796,5016576,3085,0,0,1142152,6161813,1210983,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Large,7372796,0,accurate,6161813,0,accurate,73,68720.21917808219,not excessive,0,5580744,0,0.7569372596230792,0,balanced
72776857794,Myamba Stockyard Creeks Landcare Group Inc,VIC,Small,TRUE,Environmental activities,FALSE,0,0,0,NA,0,13500,0,0,0,22552,0,0,0,0,8559,8559,13993,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,13500,9052,accurate,8559,0,accurate,0,0,not excessive,0,13500,0,0.5986165306846399,0,balanced
72781321596,The Think Pink Foundation,VIC,Medium,TRUE,Other health service delivery,TRUE,1,3,1,NA,0,317818,150515,468333,39683,508016,165102,0,0,0,322545,487647,20369,2014,Valid ABN,TRUE,TRUE,TRUE,M,TRUE,Medium,508016,0,accurate,487647,0,accurate,5,33020.4,not excessive,0,317818,0,0.6256062801171617,0,balanced
72807289186,The Trustee For Rcc Trust,VIC,Small,TRUE,International activities,TRUE,0,0,0,NA,0,17500,0,0,0,17500,0,0,0,17500,0,17500,0,2014,Valid ABN,FALSE,TRUE,TRUE,S,TRUE,Extra Small,17500,0,accurate,0,17500,accurate,0,0,not excessive,0,17500,17500,1,1,balanced
72824938822,THE TRUSTEE FOR CIRCLE OF LATITUDE FOUNDATION,VIC,Small,TRUE,Grant-making activities,TRUE,0,0,0,0,0,20941,0,0,0,21224,0,0,12000,0,3285,15285,5940,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,20941,283,accurate,3285,12000,accurate,0,0,not excessive,0,20941,12000,0.986666038447041,0.5653976630229929,balanced
