abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
34159791518,Brand New Day (Victoria) Ltd,VIC,Medium,TRUE,Economic social community development,TRUE,1,0,0,5,0,287650,582,288232,0,288232,91066,0,0,0,45040,136106,152126,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,288232,0,accurate,136106,0,accurate,6,15177.666666666666,not excessive,0,0,0,balanced
34167153522,Mwembe Foundation Australia Ltd,VIC,Small,TRUE,International activities,TRUE,0,0,0,6,0,400,0,0,0,407,0,0,0,0,0,0,407,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,400,7,accurate,0,0,accurate,6,0,not excessive,0,0,0,balanced
34169636631,Spur Afrika Australia Ltd,VIC,Small,TRUE,Economic social community development,TRUE,0,0,0,50,0,100164,0,0,0,100781,0,0,0,56000,2809,58809,41971,2015,Valid ABN,TRUE,TRUE,S,TRUE,Small,100164,617,accurate,58809,0,accurate,50,0,not excessive,0,0,0,balanced
34172849274,Yarra Ranges Kindergartens Inc,VIC,Large,TRUE,Other education,TRUE,2,47,8,100,981294,0,714464,1695758,6283,1702041,1420520,0,0,0,294563,1715083,-13042,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,1702041,0,accurate,1715083,0,accurate,157,9047.898089171975,not excessive,0,981294,0.5765395780712685,balanced
34210703350,Mirridong Services Inc,VIC,Large,TRUE,Other health service delivery,TRUE,6,21,2,15,1160920,3115,269369,1433404,0,1433404,1170315,0,0,0,314291,1484606,-51202,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,1433404,0,accurate,1484606,0,accurate,44,26598.06818181818,not excessive,0,1160920,0.8099042558831984,balanced
34252646430,The Australian Hidayah Foundation Incorporated,VIC,Small,TRUE,International activities,TRUE,1,2,4,7,0,16241,0,0,0,16241,0,0,325,15916,170,16411,-170,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,16241,0,accurate,16411,0,accurate,14,0,not excessive,0,0,0,balanced
34256073685,Dandenong & District Aborigines Co Operative Ltd,VIC,Large,TRUE,Economic social community development,TRUE,28,4,4,0,3121338,0,0,3121338,448408,3569746,2018520,0,0,0,1486324,3504844,64902,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,3569746,0,accurate,3504844,0,accurate,36,56070,not excessive,0,3121338,0.8743865810060436,balanced
34335920537,TLC For kids Inc,VIC,Large,TRUE,Other health service delivery,TRUE,3,3,1,20,15000,115653,1004113,1134766,48019,1182785,414561,995,0,0,713861,1129417,53368,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,1182785,0,accurate,1129417,0,accurate,27,15354.111111111111,not excessive,0,15000,0.012681932895665738,balanced
34464840067,Lowther Hall and Earlsbrae Building Trust,VIC,Small,TRUE,Other education,TRUE,0,0,0,0,0,217721,0,0,0,218174,0,0,500000,0,0,500000,-281826,2015,Valid ABN,TRUE,TRUE,S,TRUE,Small,217721,453,accurate,500000,0,accurate,0,0,not excessive,0,0,0,balanced
34522982434,The Trustee For The Ararat Charitable Trust,VIC,Small,TRUE,Other education,TRUE,0,0,0,2,0,0,0,0,0,1466,0,0,600,0,0,600,866,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,1466,accurate,600,0,accurate,2,0,not excessive,0,0,0,balanced
34585687498,Common Goodness Foundation,VIC,Small,TRUE,Employment training,TRUE,0,1,0,0,0,99383,0,0,0,121779,152153,0,0,0,138875,291028,-169249,2015,Valid ABN,TRUE,TRUE,S,TRUE,Small,99383,22396,accurate,291028,0,accurate,1,152153,not excessive,0,0,0,balanced
34624145785,Ripponlea Kindergarten Inc,VIC,Medium,TRUE,Other education,TRUE,1,5,0,65,136296,2726,116322,255344,0,255344,213295,0,0,0,69277,282572,-27228,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,255344,0,accurate,282572,0,accurate,71,3004.154929577465,not excessive,0,136296,0.5337740459928567,balanced
34643389350,Jung Shim Victoria Inc.,VIC,Small,TRUE,Other health service delivery,TRUE,0,0,0,5,0,2420,0,0,0,2618,0,0,0,0,2582,2582,36,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,2420,198,accurate,2582,0,accurate,5,0,not excessive,0,0,0,balanced
34737934311,LIFE Centre Trust Inc,VIC,Small,TRUE,Social services,TRUE,0,0,0,90,0,6720,0,0,0,6720,0,0,0,0,6343,6343,377,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,6720,0,accurate,6343,0,accurate,90,0,not excessive,0,0,0,balanced
34750672219,Vietnam Veterans Association Of Australia Victorian Branch,VIC,Medium,TRUE,Social services,TRUE,0,0,0,104,538125,0,0,579258,41133,579258,0,0,5750,0,318308,324058,255200,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,579258,0,accurate,324058,0,accurate,104,0,not excessive,0,538125,0.9289901908993919,balanced
34844707349,Port Phillip Community Group Limited,VIC,Large,TRUE,Social services,TRUE,1,13,7,84,1097886,44724,36216,1178826,94700,1273526,771920,0,0,0,405817,1177737,95789,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,1273526,0,accurate,1177737,0,accurate,105,7351.619047619048,not excessive,0,1097886,0.8620836951895761,balanced
34852517693,The Trustee For Mary Ward International Australia Charitable Trust,VIC,Medium,TRUE,Economic social community development,TRUE,0,0,0,0,0,104889,270547,375436,0,375436,0,0,56492,0,187971,244463,130973,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,375436,0,accurate,244463,0,accurate,0,0,not excessive,0,0,0,balanced
34895911408,Wycheproof Community Resource Centre Inc.,VIC,Medium,TRUE,Economic social community development,TRUE,0,7,0,40,19602,0,0,290344,270742,290344,148299,0,0,0,120039,268338,22006,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,290344,0,accurate,268338,0,accurate,47,3155.2978723404253,not excessive,0,19602,0.0675130190394842,balanced
35007279144,Pnh Support Association Of Australia Inc.,VIC,Small,TRUE,Other health service delivery,TRUE,0,0,0,4,0,3115,0,0,0,18665,0,0,0,0,12211,12211,6454,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,3115,15550,accurate,12211,0,accurate,4,0,not excessive,0,0,0,balanced
35079824203,Warrnambool College Foundation Limited,VIC,Small,TRUE,Other education,TRUE,0,0,0,9,0,0,0,0,0,36,0,0,0,0,0,0,36,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,36,accurate,0,0,accurate,9,0,not excessive,0,0,0,balanced
35139670232,The Nadrasca Foundation,VIC,Small,TRUE,Social services,TRUE,0,0,0,3,0,66660,0,0,0,68894,0,0,0,0,880,880,68014,2015,Valid ABN,TRUE,TRUE,S,TRUE,Small,66660,2234,accurate,880,0,accurate,3,0,not excessive,0,0,0,balanced
35157575843,Watsonia Pre School Association,VIC,Medium,TRUE,Other education,TRUE,0,5,0,15,199964,0,76945,276909,0,276909,205014,0,0,0,54271,259285,17624,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,276909,0,accurate,259285,0,accurate,20,10250.7,not excessive,0,199964,0.7221289304428531,balanced
35160445090,CHARLES BONNET SYNDROME FOUNDATION (AUSTRALIA),VIC,Small,TRUE,Other education,TRUE,0,0,0,11,0,440,0,0,0,6530,0,0,0,0,5584,5584,946,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,440,6090,accurate,5584,0,accurate,11,0,not excessive,0,0,0,balanced
35183785369,Willaura Hospital Auxiliary,VIC,Small,TRUE,Aged care activities,TRUE,0,0,0,12,2000,0,0,0,0,13643,0,0,3803,0,3001,6804,6839,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,2000,11643,accurate,6804,0,accurate,12,0,not excessive,0,2000,0.14659532360917688,balanced
35227974563,Flash Drive Beyond the Classroom Inc.,VIC,Small,TRUE,Other education,TRUE,0,2,0,10,0,664,0,0,0,25644,8708,0,0,0,29079,37787,-12143,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,664,24980,accurate,37787,0,accurate,12,725.6666666666666,not excessive,0,0,0,balanced
35232394922,The Trustee For Kingdom Investment Fund,VIC,Large,TRUE,Emergency relief,TRUE,0,0,0,0,0,2506887,82412,2589299,0,2589299,0,0,948131,0,25658,973789,1615510,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,2589299,0,accurate,973789,0,accurate,0,0,not excessive,0,0,0,balanced
35322103054,The Victorian Farmers Federation Disaster Relief Fund,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,1,0,50,0,0,0,59,0,0,0,0,0,0,59,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,50,9,accurate,0,0,accurate,1,0,not excessive,0,0,0,balanced
35337485802,Bubup Womindjeka Family and Children's Centre Association Inc,VIC,Large,TRUE,Other education,TRUE,50,10,10,20,0,0,2044903,1274591,1274591,3319494,0,0,0,0,3035163,3035163,284331,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,3319494,0,accurate,3035163,0,accurate,90,0,not excessive,0,0,0,balanced
35351986486,The Trustee For The Brainwave Trust,VIC,Medium,TRUE,Other health service delivery,TRUE,0,6,0,50,0,429864,132517,562381,3071,565452,271210,0,244413,0,121998,637621,-72169,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,565452,0,accurate,637621,0,accurate,56,4843.035714285715,not excessive,0,0,0,balanced
35430554780,VCS Foundation Ltd,VIC,Large,TRUE,Other health service delivery,TRUE,115,60,13,0,22699298,0,2392114,25091412,649061,25740473,16318094,0,0,0,7036804,23354898,2385575,2015,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,25740473,0,accurate,23354898,0,accurate,188,86798.37234042553,not excessive,0,22699298,0.8818524041885322,balanced
