abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,government_grants,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
38045799398,The Bridge Youth Service Inc,Victoria,Large,TRUE,Housing activities,TRUE,21,12,2,45,12076,376998,2860741,0,2860741,1814949,0,0,0,758147,2573096,287645,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,2445045,2834119,26622,accurate,2573096,0,accurate,80,22686.8625,not excessive,0,2445045,0.8546893969080039,balanced
38130433502,Wangaratta Anglican Emergency Food Group,Victoria,Small,TRUE,Emergency relief,TRUE,0,0,0,0,748,0,748,0,748,0,0,0,0,0,0,748,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,748,0,accurate,0,0,accurate,0,0,not excessive,0,0,0,balanced
38143028866,BABA BUDHA JI CHARITABLE ASSOCIATION INCORPORATED,Victoria,Small,TRUE,Economic social community development,TRUE,0,0,0,30,128783,0,128783,0,128783,0,0,0,0,54699,54699,74084,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,128783,0,accurate,54699,0,accurate,30,0,not excessive,0,0,0,balanced
38159571141,Quilts of Valour Australia Inc,Victoria,Small,TRUE,Social services,TRUE,0,0,0,200,10409,0,10440,0,10440,0,0,0,0,12733,12733,-2293,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,10409,31,accurate,12733,0,accurate,200,0,not excessive,0,0,0,balanced
38162740131,Blueprint for Free Speech Inc.,Victoria,Medium,TRUE,Other education,TRUE,0,0,0,7,289532,0,289532,10754,300286,0,0,0,0,280351,280351,19935,2018,Valid ABN,TRUE,TRUE,M,TRUE,Medium,0,300286,0,accurate,280351,0,accurate,7,0,not excessive,0,0,0,balanced
38177188057,The Water Well Project Limited,Victoria,Small,TRUE,Other health service delivery,TRUE,0,0,0,150,3740,1751,15615,0,15615,0,0,0,0,28507,28507,-12892,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,10000,15491,124,accurate,28507,0,accurate,150,0,not excessive,0,10000,0.6404098623118796,balanced
38209584158,Metro East Bicycle User Group Incorporated,Victoria,Small,TRUE,Civic advocacy activities,TRUE,0,0,0,6,96,745,2011,0,2011,0,0,100,0,715,815,1196,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,841,1170,accurate,815,0,accurate,6,0,not excessive,0,0,0,balanced
38223950243,SPRINGVALE RSL SUB-BRANCH PATRIOTIC FUND,VIC,Medium,TRUE,Social services,TRUE,0,0,0,5,2948,351993,355003,0,355003,0,0,0,0,115636,115636,239367,2018,Valid ABN,TRUE,TRUE,M,TRUE,Medium,0,354941,62,accurate,115636,0,accurate,5,0,not excessive,0,0,0,balanced
38248146719,Allwood Neighbourhood House Incorporated,Victoria,Small,TRUE,Economic social community development,TRUE,0,2,0,20,0,2100,119888,0,119888,72198,0,0,0,38792,110990,8898,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,106991,109091,10797,accurate,110990,0,accurate,22,3281.7272727272725,not excessive,0,106991,0.8924245962898706,balanced
38287939249,Gillians Rainbow Bridge,Victoria,Small,TRUE,Other education,TRUE,0,0,0,1,8120,0,8310,0,8310,0,0,0,0,9089,9089,-779,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,8120,190,accurate,9089,0,accurate,1,0,not excessive,0,0,0,balanced
